AU,HospitalName,CircuitType,OOBPhone,OrderGroup,CircuitID,CircuitIDLEC,IPCSR,RouterPort,PrimaryIPAddress,SecondaryIPAddress,Notes
129,VCA Veterinary Care Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 250M/25M, Secondary CenturyLink DSL 120M/20M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Old - Pomeroy Site ID H0620088741)",,Velocloud,,,,,"10.50.56.1
VLAN 180 - 10.50.57.0/26
VLAN 182 - 10.50.57.96/28
VLAN 183 - 10.50.57.112/28
VLAN 184 - 10.50.57.128/27
Voice VLAN 400  10.3.141.0/24 GW 10.50.56.252",,MAIN TELCO RM. GROUND FL. SH 1 SL #1/2
130,VCA Wyoming Animal Hospital,Configure/VeloCloud SD-WAN w/4G (Comcast 50M/10M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,"10.50.58.1
Voice VLAN 400: 10.50.59.0/24",,OUTSIDE NORTH WALL NIU HOUSING #1 SLOT #1/2
130 Old,VCA Wyoming Animal Hospital - Old Hospital Location,MPLS T1 1.5 Closed,505-298-1014 PCModem,999,DHEC.333406.ATI,54HCGS024828MS,12.85.213.6,Fa0/1,10.50.58.1,172.16.32.129,
131,VCA Berwyn Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 150M/20M, Secondary DSL 24M/3M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.50.60.1
Voice VLAN 400 10.50.61.0/24",,Aruba Network
132,VCA Rossmoor-El Dorado Animal Hospital,Configure/VeloCloud SD-WAN w/4G (Comcast 50M/10M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,10.50.62.1,,
133,VCA West Mesa Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 100M/20M,Secondary CenturyLink DSL 40M/5M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Old - Pomeroy Site ID H0620098747)",,Velocloud,,,,,"10.50.64.1
Voice VLAN 400 - 10.50.65.0 / 24",,NEC SIP
134,VCA Howell Branch Animal Hospital,Configure/VeloCloud SD-WAN w/4G (Time Warner 50M/5M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,"10.50.66.1
Voice VLAN 400 - 10.50.67.0/24",,"FIRST FLOOR TELCO CLOSET, SLOT 1 OF 2, TAGGED/LABL"
135 Closed,VCA Cacoosing Animal Hospital - Merged into AU147 Sinking Spring July 2016,"CLOSED / MERGED - AVTS VPN w/4G (Comcast 50M/10M) - Call DSR for Support 888-499-9973
(Old - MPLS T1 1.5)",,999,,,,,10.50.68.1,,FL1 UTIL RM SHELF1 SLOT1 NOT EXT
137,VCA Companion Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Spectrum 100M/10M, Secondary AT&T DSL 12M/2M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,10.50.72.1,,
138 Closed,VCA Detwiler Animal Hospital - 10/31/2020 Hospital closed/merged with AU147 Sinking Springs,CLOSED - Configure/VeloCloud SD-WAN w/4G (Comcast 50M/10M),,999,,,,,10.50.74.1,,
139,VCA Bay Area Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 100M/20M, Secondary GTT DSL 10M/2M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.50.76.1
Voice VLAN 400 - 10.50.77.0/24",,"NEC SIP
Voice VLAN 400 - 10.50.77.0/24
MPOE 1.1 SHELF-1 POS-B, SHELF 1 SLOT A"
140,VCA Albany Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 150M/20M, secondary AT&T 100M/20M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.50.78.1
Voice VLAN 400 - 10.50.79.0/24",,"NEC UCaaS
Voice VLAN 400 - 10.50.79.0/24
NDDT/ OUTSIDE ENCLOSURE 1 SLOT 1 AT SIDE OF ANIMAL HOSPITAL"
141,VCA Animal Hospital (Burbank),"Configure/VeloCloud SD-WAN w/4G (Spectrum 100M/10M, Secondary Uverse 45M/6M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.50.80.1
VLAN 400 - 10.50.81.0/24",,NEC SIP
142,VCA Lakeside Animal Hospital,Configure/VeloCloud SD-WAN w/4G (Charter 60M/4M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,10.50.82.1,,NORTH SIDE OF BUILDING
145 Closed,VCA Tampa Bay Animal Hospital - Closed 4/30/2016,MPLS T1 1.5,813-935-1809 vsi vr 10/14/10,999,DHEC.894951 ATI,69HCGS400977GTES,12.92.178.130,Fa0/1,10.50.88.1,172.16.36.65,
146,VCA Lewis Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 150M/20M, Secondary Verizon FIOS 75M/75M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,10.50.90.1,,Aruba Network
147,VCA Sinking Spring Animal Hospital - (AU135 Cacoosing merged July 2016),Configure/VeloCloud SD-WAN w/4G (Comcast 150M/20M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,10.50.92.1,,Aruba Network
148,VCA Lewelling Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 50M/10M, Secondary AT&T DSL 24M/3M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.50.94.1
Voice VLAN 400 - 10.50.95.0/24",,"Aruba Network
Voice VLAN 400 - 10.50.95.0/24"
149,VCA South County Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Charter 100M/7M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Pomeroy Customer# 274441 / Site ID H0620098735)",805-474-9837,Velocloud / Pomeroy,,,,,10.50.97.1,,Telco Room - MNT 1 POS 1 AT 1.1
150,VCA Alpine Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (GCI Cable 75M/5M, Secondary 2PiFi 7M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Pomeroy 866-364-4357 Customer# 274441 / Site ID H0620098733)",,Velocloud / Pomeroy,,,,,10.50.98.1,,
151,VCA Eagle River Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (GCI Cable 50M/3M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Pomeroy 866-364-4357 Customer# 274441 / Site ID H0620096088)",,Velocloud / Pomeroy,,,,,10.50.100.1,,"phone room, on the side of the MFD shelf, Jack #2  -  LABELED DHEC.259829..ALS  & HCGS.131777"
152,VCA Miller-Robertson Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Spectrum 100M/10M, secondary GTT DSL 10M/1M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Old Pomeroy - Site ID H0620092162)",,VeloCloud,,,,,"10.50.102.1
Voice VLAN 400 - 10.50.103.1",,"NEC UCaaS
(Telco Dmarc - 8807-1.1 TERM   DM 1   SLOT 1)"
153,VCA Marina Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Spectrum 400M/20M, secondary GTT DSL 8M/1M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Old - Pomeroy Site ID H0620092163)",,Velocloud,,,,,"10.50.104.1
Voice VLAN 500 - 10.50.105.0/24",,"Aruba Network
NEC PBX with IP Phones on VLAN 500
TELCO SERVER ROOM NEXT TO STORAGE CLOSET BY ROOK AC"
154,VCA South Shore (Weymouth) Animal Hospital,"Configure/VeloCloud SD-WAN w/4G with VC 540 (Comcast 250M/25M, Secondary AT&T ADI 50M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Old - Pomeroy Site ID H0620088742)",,Velocloud,,,,,"10.50.106.1
VLAN 180 - 10.3.181.0/26
VLAN 182 - 10.3.181.96/28
VLAN 183 - 10.3.181.112/28
VLAN 184 - 10.38.181.128/27
Wireless VLAN 500 - 10.3.43.0/24
Voice VLAN 400 - 10.50.107.0/24",10.3.140.0 /24,"Aruba Network
1ST FLR TELCO ROOM-RJ48X POS #1 (OF 8).NOT EXTENDED.
1ST FLR TELCO ROOM-RJ48X POS #4 (OF 8).NOT EXTENDED
GND,RM TEL,TEL CLOSET,RJ48X,LP N,CAB N,JCK,NO,POS 5 OF 8"
156,VCA South Shore (Quincy) Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 50M/10M, Secondary Verizon DSL 5M/768K) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.50.110.1
Voice VLAN 400 - 10.50.111.0/24",,NEC UCaaS
159,VCA All Pet Animal Hospital/Taylorsville,"Configure/VeloCloud SD-WAN w/4G (primary Comcast 100M/20M, secondary CenturyLink 40M/5M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,10.50.116.1,,"OUTSIDE NORTH WALL NF TERMINAL CAB 1 SLOT 1 OF 4, 2520-1 WEST 4700 SOUTH REAR / NORTHSIDE OF BUILDING OUTSIDE Closet"
160,VCA Castle Shannon Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 50M/10M, Secondary Verizon FIOS 75M/75M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.50.118.1
Voice VLAN 400 - 10.50.119.0/24",,"Voice VLAN 400 - 10.50.119.0/24
BASEMENT MAIN TELCO ROOM MOUNTING 1 SLOT 2RJ48C"
162,VCA Fox Chapel Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (FIOS 50M/25M, Secondary Comcast 25M/5M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Pomeroy 866-364-4357 Customer# 274441 / Site ID H0620089111)",,Velocloud / Pomeroy,,,,,"10.50.122.1
Voice VLAN 400 - 10.50.123.0/24",,"Aruba Network
Voice VLAN 400 - 10.50.123.0/24"
163,VCA East Anchorage Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (GCI 100M/5M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Pomeroy 866-364-4357 Customer# 274441 / Site ID H0620098734)",,Velocloud / Pomeroy,,,,,10.50.124.1,,
164,VCA Greater Savannah Animal Hospital,Configure/VeloCloud SD-WAN w/4G (Comcast 150M/20M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,"10.50.126.1
Voice VLAN 400 10.50.127.0/24",,ONI LT FRT BLDG POS1 TAGGD NONXT
165,VCA Kaneohe Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Spectrum 100M/10M, Secondary Hawaiian Telecom 10M/1M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"Data VLAN 200 - 10.50.128.1
Voice VLAN 400 10.50.129.02/4",,Aruba Network
166 Closed,VCA Elkton Animal Hospital - 9/9/19 Closed / Merged into AU167 Glasglow,Closed - Configure/VeloCloud SD-WAN w/4G (Comcast 50M/10M),,999,,,,,10.50.130.1,,CAB1 JK1
167,VCA Glasgow Animal Hospital,Configure/VeloCloud SD-WAN w/4G (Comcast 150M/20M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,"10.50.132.1
VLAN 400 10.50.133.0/24",,1STFLR TELRM CAB1 SLOT2
168,VCA Conewago Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 16M/3M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Pomeroy 866-364-4357 Customer# 274441 / Site ID H0620089112)",,Velocloud / Pomeroy,,,,,10.50.134.1,,
180 Closed,VCA St. Petersburg Animal Hospital - Closed,MPLS T1 1.5 Closed,,999,,,,Fa0/1,10.50.158.1,172.16.45.1,
181 Sold,VCA Veterinary Referral Associates - Hospital Sold / No longer on VCA Network 9/14/2018,"Sold - MPLS 20M
/ AT&T MPLS Support - 888-613-6330
(Old - MPLS 2xT1 3.0)",,999,"MMEC.601944..ATI
(Old - MLEC.842540..ATI)
(Old - DHEC.652477.801 ATI
, DHEC.652477.802 ATI)","36KEGS313440CD
(Old - 36KEGS307171CD)
(Old - 23HCGS122371CD   23HCGS122368CD)","12.115.8.138 
(Old - 12.112.68.162)
(Old - 12.115.249.50)",Fa0/0,"10.50.160.0
VLAN 400 - 10.56.54.0/24
VLAN 180 - 10.3.5.0/26
VLAN 182 - 10.3.5.96/28
VLAN 183 - 10.3.5.112/28
VLAN 184 - 10.3.5.128/27",,"DEMARC at PREM: FL 1 MAIN TEL RM MOUNTED ON WALL TGGD BTH IDS NT XTD
MTR FLR 1 MNT 1 SLT 2 RJ48C TGD NT EXT          MTR FLR 1 MNT 1 SL 1 RJ48C TGD NT EXT"
183,VCA Clarmar Animal Hospital,Configure/VeloCloud SD-WAN w/4G (Time Warner 50M/5M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,10.50.164.1,,EXT CABINET ON EAST SIDE OF BLDG/SLOT 1 OF 4/HOUSING
184,VCA Rotherwood Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 16M/3M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Pomeroy support Call 866-364-4357 Customer# 274441 / Site ID H0620089096)",,Velocloud / Pomeroy,,,,,10.50.166.1,,
185,VCA Northborough Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Charter 50M/5M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Pomeroy support Call 866-364-4357 Customer# 274441 / Site ID H0620089455)",,Velocloud / Pomeroy,,,,,10.50.168.1,,"Aruba Network 
BASEMENT TELCO ROOM RJ48C POS 2 OF 2, TAGGED"
187,VCA Beacon Hill Cat Hospital,"Configure/VeloCloud SD-WAN w/4G (Cox 50M/10M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com 
(Old - MPLS T1)",,Velocloud,Old - DHEC.889631 ATI,Old - 23HCGS149369CD,"10.2.3.9
Old - 12.92.173.94",,10.50.172.1,,
188,VCA Old Town Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 150M/20M, Secondary GTT DSL 10M/2M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,10.50.174.1,,MAIN TEL SHELF 1 SLT 2
189,VCA North Rockville Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 75M/15M, Secondary Verizon DSL 3M/768K) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com 
(Old - MPLS T1)",301-340-6514 vr 7/14/10 live vsi - retask,Velocloud,(Old - DHEC.404822.ATI),(Old - 23HCGS148187CD),(Old - 12.85.227.110),,"10.50.176.1
Voice VLAN 400 - 10.50.177.0/24",,"NEC UCaaS
Voice VLAN 400 - 10.50.177.0/24
MAIN TELCO RM 1st FLR, MT 1, Slot 1, RJ48C"
190,VCA Lake Shore Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (2PiFi 10M/10M, Secondary AT&T DSL 6M/768K) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com 
(Pomeroy support 866-364-4357 Customer# 274441 / Site ID H0620098897)",,Velocloud / Pomeroy,,,,,"10.50.178.1
VLAN400 - 10.50.179.0/24",,"NEC UCaaS
Aruba Network
OUTDOOR CAB REAR OF BLDNG TAGGED"
191,VCA Animal Care Center,Configure/VeloCloud SD-WAN w/4G (Cox 25M/4M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,10.50.180.1,,
201,VCA Orchard Plaza Animal Hospital,Configure/VeloCloud SD-WAN w/4G (Comcast 50M/10M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,10.50.200.1,,H2 NIU SH1X3 PORT-1 ON JKPNL BELOW MOUNT
202,VCA Animal Hospital of Los Gatos,"Configure/VeloCloud SD-WAN w/4G (Comcast 150M/20M, Secondary GTT DSL 10M/2M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,10.50.202.1,,"1ST FLOOR TELCO ROOM INSIDE OF BLDG,NIU SLOT 1 OF 2"
203,VCA Vets & Pets Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (2PiFi 9M/5M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com 
(Pomeroy 866-364-4357 Customer# 274441 / Site ID H0620098877)",,Velocloud / Pomeroy,,,,,"10.50.204.1
Voice VLAN: 10.50.205.0/24",,NIU @ MPOE SHELF 1SLOT 1 JACK 1
204,"VCA Blossom Hill Animal Hospital
(Hospital Relocated 4/5/2019)","Configure/VeloCloud SD-WAN w/4G (Comcast 150M/20M, Secondary AT&T DSL 6M/768K) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com 
(Old - MPLS T1 1.5 - AT&T MPLS Support - 888-613-6330)",,Velocloud,Old - DHEC.941741.ATI,Old - 86HCGS720601PT,"10.2.3.18
Old - 12.113.182.102",,"10.50.206.1
Voice VLAN 400 - 10.50.207.0/24",,"New Building - Velocloud Comcast 150M/20M
MPLS 2xT1 -
IPCSR - 12.112.107.202
86HCGS808735PT   DHEC.146110.801.ATI 
86HCGS808736PT   DHEC.146110.802.ATI 
NAT 10.3.206.0/24
VLAN400 ? 10.50.207.0/24
VC management - 10.2.3.18"
205,VCA Winchester Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 150M/20M, Secondary AT&T DSL 18M/1.5M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.50.208.1
Voice VLAN 400 : 10.50.209.0/24",,
206 Closed,VCA Hemingway Cat Hospital - Closed / Merged into AU205,MPLS T1 1.5 Closed,408-741-8709 vsi vr 11/01/10,999,DHEC.605553 ATI,86HCGS721781PT,12.113.200.178,Fa0/1,10.50.210.1,172.16.51.129,
207,VCA Almaden Valley Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 150M/20M, Secondary AT&T DSL 18M/1.5M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.50.212.1
Voice VLAN 400 10.50.213.0/24",,"NEC SIP
MPOE 1.1, SHELF 1X1"
212,VCA Spring Mountain Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Cox 50M/10M, Secondary GTT DSL 10M/2M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,10.50.222.1,,
213,VCA Black Mountain Animal Hospital,Configure/VeloCloud SD-WAN w/4G (Cox 300M/30M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,"10.50.224.1
Voice VLAN 400: 10.50.225.0/24",,MPOE MAIN PHONE ROOM REAR OF BLDG NIU 1 SLOT 2 OF
214,VCA Nellis Animal Hospital,Configure/VeloCloud SD-WAN w/4G (Cox 15M/3M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,10.50.226.1,,1ST FL TELCO RM..SLOT 1 OF 2
215,VCA Decatur Animal Hospital (Relocated 8/2016),"Configure/VeloCloud SD-WAN w/4G (Cox 200M/20M, Secondary AT&T ADI 20M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,10.50.228.1,,"1ST FL FRONT OFFICE, RJ48C, SLOT 2 OF 2, T/L, **NOT extended"
250 Closed,VCA Channahon Animal Hospital - Closed/Merged into AU251 4/30/2016,MPLS T1 1.5 Closed,815-467-5449 vr 5/19/10,999,DHEC.697161.ATI,HCGS582268LB,12.115.134.26,Fa0/1,10.51.42.1,172.16.62.129,DMARC 1ST FLR MN TELCO SMRT JK Cab 1 slot 2
251,VCA Joliet Animal Hospital,Configure/VeloCloud SD-WAN w/4G (Comcast 50M/10M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,"10.51.44.1
Voice VLAN 400: 10.51.45.0/24",,T1 CABINET 1 SLOT1
252,VCA Bolingbrook Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 50M/10M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com
(Pomeroy support 866-364-4357 Customer# 274441 / Site ID H0620098876)",,Velocloud / Pomeroy,,,,,10.51.46.1,,SPRINKLER ROOM REAR OF BUILDING CAB 1 SLOT 1 OF 4
253 Closed,VCA Burbank Animal Hospital - Hospital Closed 8/24/2018,"Hospital Closed - Pomeroy VPN w/4G Backup (Comcast 50M/10M), For support Call 866-364-4357 Customer# 274441 / Site ID H0620089123
(Old - AVTS/Comcast Cable 6Mb/768K)",,999,,,,,10.51.48.1,,
255,VCA Naper Ridge Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 50M/10M, Secondary AT&T DSL 24M/3M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.51.52.1
Voice VLAN 400: 10.51.53.0/24",,"OUTSIDE MOUNT,REAR WALL, MOUNTING 1,SLOT"
257 Closed,VCA LaGrange Park Animal Hospital - Hospital Closed / Merged with AU131 VCA Berywin 12/5/2018,Configure/VeloCloud SD-WAN w/4G (Comcast 50M/10M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,999,,,,,10.51.56.1,,"OUTSIDE REAR WALL, SHELF 1,"
259,VCA Chicago North Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 50M/10M, Secondary AT&T DSL 25M/5M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.51.60.1
Voice VLAN 400 - 10.51.61.0/24
Security VLAN 600 - 10.3.99.160/27",,
262,VCA Franklin Park Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 150M/20M, Secondary AT&T DSL 18M/1M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,10.51.66.1,,
264,VCA Noyes Animal Hospital (New Hospital Location August 2013),Configure/VeloCloud SD-WAN w/4G (Comcast 50M/10M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,"10.51.70.1
Voice VLAN 400: 10.51.71.0/24",,OUTSIDE MNTNG ACK WALL ABOVE NETPOP CAB 1 SLOT 1
269 Closed,VCA Aroma Park Animal Hospital - Closed,MPLS T1 1.5 - Closed,,999,DHEC.183574 ATI,HCGS583387LB,12.112.98.10,Fa0/1,10.51.80.1,172.16.67.65,OUTDOOR MTG SLOT 2 OF 2 REAR WALL OF BLDG
271,VCA Midpark Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Spectrum 100M/10M, Secondary AT&T DSL 24M/3M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,,"10.51.84.1
Voice VLAN 400:  10.51.85.0/24",,Aruba Network
278,VCA St. Clair Shores Animal Hospital,"Configure/VeloCloud SD-WAN w/4G (Comcast 150M/20M, Secondary AT&T DSL 24M/3M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com",,Velocloud,,,,Fa0/1,10.51.98.1,,"1ST FL TELCO,SLOT 1 OF 4"
282,VCA Clinton Township Animal Hospital,Configure/VeloCloud SD-WAN w/4G (Comcast 50M/10M) - Call Configure for Support 855-539-9234 / optinoc@configureinc.com,,Velocloud,,,,,10.51.106.1,,
