"HOSPITAL
NUMBER",OPERATING NAME,SHORT NAME,ADDRESS,CITY,"ST/
PROV","POSTAL
CODE",COUNTRY,PHONE,FAX,BACKLINE,HM,MD,REG,"REGION
GROUP",COMPANY
142,VCA Lakeside Animal Hospital,Lakeside,42160 North Shore Dr.,Big Bear City,CA,92314,USA,1-909-866-2021,1-909-866-5885,1-909-866-8787,Craig Lassen,John Delandtsheer,SC05,SC,US Hospitals
146,VCA Lewis Animal Hospital,Lewis,10665 Route 108,Columbia,MD,21044,USA,1-410-730-6660,1-410-964-9014,1-410-964-1471,Megan Mazzola,,MA03,MA,US Hospitals
147,VCA Sinking Spring Animal Hospital,Sinking Spring,21 Green Valley Road,Sinking Spring,PA,19608,USA,1-610-670-5757,1-610-670-3343,1-610-678-6748,Julie Brunner,Nicole Barnett,MA03,MA,US Hospitals
148,VCA Lewelling Animal Hospital,Lewelling,525 Lewelling Blvd.,San Leandro,CA,94579,USA,1-510-357-4227,1-510-357-6107,1-510-357-3889,Kim Thomason,Melissa Guzman,NC01,NC,US Hospitals
149,VCA South County Animal Hospital,South County,205 El Camino Real,Arroyo Grande,CA,93420,USA,1-805-489-1361,1-805-489-5197,1-805-489-1370,Mandy Honer,Steven Paulick,SC01,SC,US Hospitals
150,VCA Alpine Animal Hospital,Alpine/AK,12531 Old Seward Highway,Anchorage,AK,99515,USA,1-907-345-1515,1-907-345-5653,1-907-345-7198,Stacie Watson,,NW05,NWH,US Hospitals
151,VCA Eagle River Animal Hospital,Eagle River,11710 Business Blvd.,Eagle River,AK,99577,USA,1-907-694-3800,1-907-694-2918,1-907-694-3811,Teresa Nelson,Kathryn Martell,NW05,NWH,US Hospitals
152,VCA Miller-Robertson Animal Hospital,Miller-Robertson,8807 Melrose Ave,Los Angeles,CA,90069,USA,1-310-657-7050,1-310-652-6970,1-310-657-0049,Jennifer Hartman,Mark Nunez,SC02,SC,US Hospitals
153,VCA Marina Animal Hospital,Marina,2506 Lincoln Blvd.,Venice,CA,90291,USA,1-310-306-8707,1-310-827-5182,1-310-306-8709,Natalie Chutick,Steven Thatcher,SC06,SC,US Hospitals
154,VCA South Shore (Weymouth) Animal Hospital,South Shore/Weymouth,595 Columbian Street,South Weymouth,MA,02190,USA,1-781-337-6622,1-781-337-0069,1-781-337-4795,Tracey Johnson,Michael Bernstein,NES02,NE,US Hospitals
156,VCA South Shore (Quincy) Animal Hospital,South Shore/Quincy,579 Adams Street,Quincy,MA,02169,USA,1-617-773-8247,1-617-479-3230,1-617-773-8249,Rebecca Snape,,NE08,NE,US Hospitals
159,VCA All Pet Animal Hospital/Taylorsville,All Pet/Taylorsville,2530 West 4700 South,Taylorsville,UT,84129,USA,1-801-966-4700,1-801-966-5150,1-801-966-4730,Andrea Adair,Brett Neville,MSW02,MSW,US Hospitals
160,VCA Castle Shannon Animal Hospital,Castle Shannon,3610 Library Rd.,Pittsburgh,PA,15234,USA,1-412-885-2500,1-412-885-8901,,Michele Kinzel,,C05,CE,US Hospitals
162,VCA Fox Chapel Animal Hospital,Fox Chapel,1152 Freeport Road,Pittsburgh,PA,15238,USA,1-412-781-6446,1-412-781-8776,1-412-781-0551,Vicky Russell,Paul Miggins,C05,CE,US Hospitals
163,VCA East Anchorage Animal Hospital,East Anchorage,2639 Boniface Pkwy.,Anchorage,AK,99504,USA,1-907-337-1561,1-907-333-1379,1-907-337-1562,Meleah Fowler,Maggie Zych,NW05,NWH,US Hospitals
164,VCA Greater Savannah Animal Hospital,Greater Savannah,1350 E. Derenne Ave,Savannah,GA,31406,USA,1-912-355-8898,1-912-355-4288,1-912-355-1041,Cory Beyrer,Terri Sparks,SE07,SE,US Hospitals
165,VCA Kaneohe Animal Hospital,Kaneohe,45-608 Kamehameha Hwy,Kaneohe,HI,96744,USA,1-808-236-2414,1-808-235-4074,1-808-235-1940,Holly Poomaihealani,,H01,NWH,US Hospitals
166,VCA Elkton Animal Hospital,Elkton,400 W. Pulaski Hwy,Elkton,MD,21921,USA,1-410-398-8777,1-410-392-0912,1-410-398-8823,Stephanie Livingston,,MA01,MA,US Hospitals
167,VCA Glasgow Animal Hospital,Glasgow,650 Peoples' Plaza,Newark,DE,19702,USA,1-302-834-1118,1-302-836-1178,1-302-834-1128,Michelle Marrs-Dean,,MA01,MA,US Hospitals
168,VCA Conewago Animal Hospital,Conewago,3002 Hanover Pike,Hanover,PA,17331,USA,1-717-632-4425,1-717-632-6750,1-717-632-6873,Callie Wilkes,Elizabeth Armentrout,MA03,MA,US Hospitals
183,VCA Clarmar Animal Hospital,Clarmar,20805 Hawthorne Blvd,Torrance,CA,90503,USA,1-310-371-2474,1-310-371-1854,1-310-371-0284,Kyle Lanz,Stephen Fynaardt,SC06,SC,US Hospitals
184,VCA Rotherwood Animal Hospital,Rotherwood,78 Winchester Street,Newton Highlands,MA,02461,USA,1-617-244-4367,1-617-969-3708,1-617-965-9359,Amy Canning,Devin Scruton,NE01,NE,US Hospitals
185,VCA Northborough Animal Hospital,Northboro,286 West Main St.,Northborough,MA,01532,USA,1-508-393-8339,1-508-393-8657,1-508-393-5689,Jessica Medeiros,Kathleen Scandura,NE01,NE,US Hospitals
187,VCA Beacon Hill Cat Hospital,Beacon Hill,6610 Richmond Highway,Alexandria,VA,22306,USA,1-703-765-2287,1-703-768-5981,1-703-768-1897,Kathryn Rosenbluth,Nancy Suska,MA04,MA,US Hospitals
188,VCA Old Town Animal Hospital,Old Town,425 N. Henry Street,Alexandria,VA,22314,USA,1-703-549-3647,1-703-549-0992,1-703-549-8123,Katherine Yeiser,Laura Maclean,MA04,MA,US Hospitals
189,VCA North Rockville Animal Hospital,North Rockville,1390 East Gude Drive,Rockville,MD,20850,USA,1-301-340-9292,1-301-309-1513,1-301-340-0684,Glenda Diaz Sorto,Lindsey Anderson,MA03,MA,US Hospitals
190,VCA Lake Shore Animal Hospital,Lake Shore,960 West Chicago Avenue,Chicago,IL,60642,USA,1-312-738-3322,1-312-738-0701,1-312-738-2790,Payal Music,Jessica Trice-Kolettis,C04,CE,US Hospitals
191,VCA Animal Care Center,Animal Care/Norfolk,1228 West Little Creek Road,Norfolk,VA,23505,USA,1-757-423-3900,1-757-423-3917,,Shanon Kearns,,MA05,MA,US Hospitals
201,VCA Orchard Plaza Animal Hospital,Orchard Plaza,5841 Cottle Road,San Jose,CA,95123,USA,1-408-227-9110,1-408-224-9887,1-408-227-9111,Jenna Weckesser,Melissa Olszewski,NC03,NC,US Hospitals
202,VCA Animal Hospital of Los Gatos,Los Gatos,524 N. Santa Cruz Ave.,Los Gatos,CA,95030,USA,1-408-354-9530,1-408-354-2523,1-408-354-7373,Crystal Cuadra Cutler,Ingrid Peterson,NC03,NC,US Hospitals
203,VCA Vets & Pets Animal Hospital,Vets & Pets,3345 El Camino Real,Santa Clara,CA,95051,USA,1-408-246-1893,1-408-246-8610,1-408-246-1895,Gisele Price,Janice Lem-White,NC03,NC,US Hospitals
204,VCA Blossom Hill Animal Hospital,Blossom Hill,955 Blossom Hill Road,San Jose,CA,95123,USA,1-408-227-3717,1-408-227-1233,1-408-227-5022,Wendi L'Hereault,Stacy Hare,NC03,NC,US Hospitals
205,VCA Winchester Animal Hospital,Winchester,2110 S. Winchester Blvd.,Campbell,CA,95008,USA,1-408-378-4380,1-408-379-0542,1-408-378-4381,Linda Badarie,Phuong-an Vi Hoang,NC03,NC,US Hospitals
207,VCA Almaden Valley Animal Hospital,Almaden Valley,15790 Almaden Expressway,San Jose,CA,95120,USA,1-408-268-3550,1-408-268-3590,1-408-268-5499,Tiffany Miner,,NC03,NC,US Hospitals
212,VCA Spring Mountain Animal Hospital,Spring Mountain,5590 W. Spring Mountain Road,Las Vegas,NV,89146,USA,1-702-876-9228,1-702-876-8479,1-702-876-9229,Heidi Bozzer,Roger Knighton,MSW02,MSW,US Hospitals
213,VCA Black Mountain Animal Hospital,Black Mountain,"400 College Drive, Suite A",Henderson,NV,89015,USA,1-702-565-6558,1-702-565-8515,1-702-565-3156,Dawn Hershey,Randy Winn,MSW02,MSW,US Hospitals
214,VCA Nellis Animal Hospital,Nellis,20 North Nellis Blvd.,Las Vegas,NV,89110,USA,1-702-453-1220,1-702-452-9079,1-702-453-1221,Lisa Ingram,John Lindaman,MSW02,MSW,US Hospitals
215,VCA Decatur Animal Hospital,Decatur,1117 N. Decatur Blvd.,Las Vegas,NV,89108,USA,1-702-646-3777,1-702-646-4729,1-702-646-1344,Kristine Wahpeconiah,Michelle Hoyt,MSW02,MSW,US Hospitals
251,VCA Joliet Animal Hospital,Joliet,220 N. Hammes,Joliet,IL,60435,USA,1-815-729-0770,1-815-729-9835,1-815-729-0870,Dorothy Ludtke,Seth Beyers,C04,CE,US Hospitals
252,VCA Bolingbrook Animal Hospital,Bolingbrook,475 N Bolingbrook Drive,Bolingbrook,IL,60440,USA,1-630-759-5700,1-630-759-8706,,Lynn King,Julianna Rowlett,C04,CE,US Hospitals
255,VCA Naper Ridge Animal Hospital,Naper Ridge,987 Maplefield Rd.,Naperville,IL,60565,USA,1-630-717-9701,1-630-717-9708,,Alicia Jepsen,Renee Blentlinger,C06,CE,US Hospitals
257,VCA LaGrange Park Animal Hospital,LaGrange Park,905 E. 31st St.,LaGrange Park,IL,60526,USA,1-708-482-3226,1-708-482-4145,,Ashley Towns,,C04,CE,US Hospitals
259,VCA Chicago North Animal Hospital,Chicago North,3631 N. Elston Ave.,Chicago,IL,60618,USA,1-773-267-1111,1-773-267-3545,1-773-267-1241,Dana Wellwood,Alena Abens,C04,CE,US Hospitals
262,VCA Franklin Park Animal Hospital,Franklin Park,9846 West Grand Ave.,Franklin Park,IL,60131,USA,1-847-455-4922,1-847-451-2141,,Michelle Gunther,Colleen Pagor,C04,CE,US Hospitals
264,VCA Noyes Animal Hospital,Noyes,710 Northwest Highway,Fox River Grove,IL,60021,USA,1-847-462-1599,1-847-381-1941,1-847-381-8787,Heidi Groselak,John Zimmerman,C06,CE,US Hospitals
271,VCA Midpark Animal Hospital,Midpark,6611 Smith Rd.,Middleburg Heights,OH,44130,USA,1-216-362-7387,1-216-362-0311,,Andrea Holtz,Scott Jackson,C05,CE,US Hospitals
278,VCA St. Clair Shores Animal Hospital,St. Clair Shores,25101 Harper,St. Clair Shores,MI,48081,USA,1-586-445-1970,1-586-778-0030,,Crystal Wachtel,Jason Banaszak,C01,CE,US Hospitals
282,VCA Clinton Township Animal Hospital,Clinton Township,40696 Garfield,Clinton Township,MI,48038,USA,1-586-228-8933,1-586-228-6571,,Sara Skuta,Michael Brown,C01,CE,US Hospitals
284,VCA Allen Park Animal Hospital,Allen Park,5401 Allen Road,Allen Park,MI,48101,USA,1-313-928-9100,1-313-388-7923,,Angela Long,Robin Berry,C01,CE,US Hospitals
286,VCA Farmington Hills Animal Hospital,Farmington Hills,28985 Orchard Lake Road,Farmington Hills,MI,48334,USA,1-248-553-2340,1-248-489-1710,,Lisa Cameron,Leslie Shoksnyder,C01,CE,US Hospitals
290,VCA Animal Hospital of Garden City,Garden City,2085 Inkster Rd.,Garden City,MI,48135,USA,1-734-425-4515,1-734-425-0210,1-734-425-4596,Kimberly Arbour,Bradley Davis,C01,CE,US Hospitals
293,VCA Southland Animal Hospital,Southland,20224 Eureka Rd.,Taylor,MI,48180,USA,1-734-285-7500,1-734-285-6124,1-734-285-0747,Abigail Richert,Bhupender Nath,C01,CE,US Hospitals
296,VCA Village Park Animal Hospital,Village Park,15018 Greyhound Ct.,Carmel,IN,46032,USA,1-317-848-1898,1-317-848-1632,1-317-848-1899,Andrea Beale-Tribbett,Amy Spencer,C02,CE,US Hospitals
297,VCA West 86th St. Animal Hospital,West 86th St.,4030 West 86th St.,Indianapolis,IN,46268,USA,1-317-872-0200,1-317-872-0226,1-317-872-0226,Jill Neal,Dawn Haas,C02,CE,US Hospitals
298,VCA Beech Grove Animal Hospital,Beech Grove,4902 S. Emerson Avenue,Indianapolis,IN,46203,USA,1-317-782-9120,1-317-782-9159,,Chantel Patton,Rebecca Appolon,C02,CE,US Hospitals
299,VCA Cross Pointe Animal Hospital,Cross Pointe,9790 Lantern Road,Fishers,IN,46037,USA,1-317-841-3403,1-317-841-3405,1-317-841-3405,Nathan Harling,Robyn Mercer,C02,CE,US Hospitals
303,VCA Eagle Park Animal Hospital,Eagle Park,1008 West Oak St.,Zionsville,IN,46077,USA,1-317-873-4679,1-317-873-5389,1-317-873-4750,Beth Groves,Gail Grasee,C02,CE,US Hospitals
306,VCA Westerville East Animal Hospital,Westerville,6283 Sunbury Rd. South,Westerville,OH,43081,USA,1-614-890-1625,1-614-898-7443,1-614-890-2942,Michelle Gerdeman,Rebecca Schubert,C07,CE,US Hospitals
307,VCA Westboro Animal Hospital,Westboro,155 Turnpike Rd. Route 9,Westboro,MA,01581,USA,1-508-366-1444,1-508-366-6449,1-508-366-1445,Dan Gonyea,Laurie Klein,NE01,NE,US Hospitals
309,VCA Wakefield Animal Hospital,Wakefield,19 Main St.,Wakefield,MA,01880,USA,1-781-245-0045,1-781-245-4213,1-781-245-0046,Sarah Norton,Christine Pelletier,NE01,NE,US Hospitals
310,VCA Dudley Avenue Animal Hospital,Dudley,3200 Dudley Ave.,Parkersburg,WV,26101,USA,1-304-485-5541,1-304-485-5542,1-304-485-5542,Lisa Turner,,C05,CE,US Hospitals
312,VCA Newark Animal Hospital,Newark,1360 Marrows Rd.,Newark,DE,19711-5458,USA,1-302-737-8100,1-302-737-3843,1-302-737-8102,Lisa Garrett,Jennifer Arculus,MA01,MA,US Hospitals
314,VCA Delmarva Animal Hospital,Delmarva,10311 Old Ocean City Boulevard,Berlin,MD,21811,USA,1-410-629-1800,1-410-629-0373,,Jennifer Thren,Rebecca Seacord,MA01,MA,US Hospitals
316,Edgebrook Animal Hospital,Edgebrook,777 Helmetta Blvd.,East Brunswick,NJ,08816,USA,1-732-257-8882,1-732-254-2303,1-732-257-8912,Meredith Kendall,Christopher Slade,NE07,NE,US Hospitals
324,VCA Hillsboro Animal Hospital,Hillsboro,5619 Regency Lakes Blvd.,Coconut Creek,FL,33073,USA,1-954-428-5599,1-954-428-6576,1-954-428-6475,Lee Mcmichael,Vanessa Pisano,SE04,SE,US Hospitals
325,VCA Stirling Square Animal Hospital,Stirling Square,"3000 Stirling Rd., Unit 132",Hollywood,FL,33021,USA,1-954-963-5300,1-954-981-5269,1-954-963-5388,Suzanne Benjamin,,SE04,SE,US Hospitals
329,VCA Rock Creek Animal Hospital,Rock Creek,9399 Sheridan Street,Cooper City,FL,33024,USA,1-954-433-8188,1-954-436-1909,,Terri Nicholson,Kimberley Kugler,SE08,SE,US Hospitals
336,VCA Neshaminy Animal Hospital,Neshaminy,4197 Bristol Road,Oakford,PA,19053,USA,1-215-355-1116,1-215-355-0465,1-215-355-6899,Kristin Mccarthy,Kelly Sweeney,MA02,MA,US Hospitals
339,VCA Beltline East Animal Hospital,Beltline,2555 North Beltline Road,Sunnyvale,TX,75182,USA,1-972-226-0265,1-972-226-0578,,Karen Burns,Jeffery Nightengale,SW01,SW,US Hospitals
341,VCA Spring Animal Hospital,Spring,1811 Spring Cypress,Spring,TX,77388,USA,1-281-353-5167,1-281-353-1228,,Nick Marcelle,Dave Kasper,MSW03,MSW,US Hospitals
342,VCA Spring Branch Animal Hospital,Spring Branch,10109 Long Point Road,Houston,TX,77043,USA,1-713-461-1121,1-713-461-4894,1-713-461-1123,Bill Winter,Theresa Schweiss,MSW03,MSW,US Hospitals
343,VCA Woodlands Animal Hospital,Woodlands,428 Rayford Road,Spring,TX,77386,USA,1-281-367-7553,1-281-363-9590,1-281-367-8750,Jodi Ceaser,Richmond Wilkins,MSW03,MSW,US Hospitals
344,VCA A Breed Apart Animal Hospital,A Breed Apart,"777 S. Arroyo Parkway, Suite 106",Pasadena,CA,91105,USA,1-626-795-4444,1-626-795-1453,1-626-795-0062,Kristin Fernandez,Diana Kobashigawa-Maruna,SC02,SC,US Hospitals
345,VCA Lakewood Animal Hospital,Lakewood/TX,6363 Richmond Avenue,Dallas,TX,75214,USA,1-214-826-6601,1-214-826-0339,1-214-528-7101,Sherry Campbell,Wade Dunn,SW01,SW,US Hospitals
346,VCA 80 Dodge Animal Hospital,Dodge,8022 West Dodge Road,Omaha,NE,68114,USA,1-402-399-8100,1-402-399-8713,1-402-399-2043,Rachel Meisinger,Lynn Batenhorst,SW07,SW,US Hospitals
348,VCA Northside Animal Hospital,Northside/CT,21 Padanaram Road,Danbury,CT,06811,USA,1-203-743-4521,1-203-798-2267,1-203-791-1894,Evan Rosenfield,,NE04,NE,US Hospitals
349,VCA Animal Hospital of Santa Cruz,Santa Cruz,815 Mission Street,Santa Cruz,CA,95060,USA,1-831-427-3345,1-831-425-4907,,Aubrey Steverson,Laura Ryle,NC03,NC,US Hospitals
350,VCA Sandy Lake Animal Hospital,Sandy Lake,107 Samuel Blvd.,Coppell,TX,75019,USA,1-972-393-1165,1-972-393-0177,,Aaron Chapman,Jack Cowser,SW01,SW,US Hospitals
351,VCA Cat Hospital of Philadelphia,Cat Hosp of Phila.,226 S. 20th Street,Philadelphia,PA,19103,USA,1-215-567-6446,1-215-567-7735,,Brittany Heil,Aimee Simpson,MA01,MA,US Hospitals
353,Manhattan Veterinary Group,Manhattan,240 East 80th Street,New York,NY,10075,USA,1-212-988-1000,1-212-861-2542,,Monica Dunn,Kenneth Nicolson,NE06,NE,US Hospitals
355,VCA Bering Sea Animal Hospital,Bering Sea,1347 East 74th Avenue,Anchorage,AK,99518,USA,1-907-344-5535,1-907-349-2977,,Jessie Gagnebin,Karen Medkeff,NW05,NWH,US Hospitals
356,Freehold Animal Hospital,Freehold,3700 Route 9 South,Freehold,NJ,07728,USA,1-732-462-0572,1-732-308-9598,1-732-462-0530,James Lawson,Lindsay Voge,NE07,NE,US Hospitals
357,VCA Coast Animal Hospital,Coast,1560 Pacific Coast Highway,Hermosa Beach,CA,90254,USA,1-310-372-8881,1-310-372-6497,,Julio Canahuaty,Aimee Krieger,SC06,SC,US Hospitals
358,Shrewsbury Animal Hospital,Shrewsbury/NJ,1008 Shrewsbury Avenue,Tinton Falls,NJ,07724,USA,1-732-542-0007,1-732-542-3663,,Christine Jeffery,Curtis Cianci,NE07,NE,US Hospitals
359,Foster Animal Hospital,Foster,1347 Broad Street,Clifton,NJ,07013,USA,1-973-777-0064,1-973-777-8436,1-973-777-4105,Christine Burgess,,NE07,NE,US Hospitals
360,VCA Valley Animal Hospital,Valley/CT,39 Patria Road,South Windsor,CT,06074,USA,1-860-528-2178,1-860-528-2061,1-860-528-2179,Kathy Ouellette,Jody Willis,NE04,NE,US Hospitals
361,VCA Kennel Club Resort & Spa,Kennel Club,3301 Fujita Street,Torrance,CA,90505,USA,1-310-539-2201,1-310-539-9151,,Karen Welch,,SC04,SC,US Hospitals
362,VCA Arden Animal Hospital,Arden,407 West Arden Avenue,Glendale,CA,91203-1103,USA,1-818-246-2478,1-818-956-6367,,Patty Munson,,SC02,SC,US Hospitals
363,VCA Northside Animal Hospital,Northside/PA,185 Mikron Road,Bethlehem,PA,18020,USA,1-610-759-5922,1-610-759-2326,,Joyce Curry,Amanda Place,MA02,MA,US Hospitals
364,Twin Rivers Animal Hospital,Twin Rivers,650 Route 33 East,East Windsor,NJ,08520,USA,1-609-426-9625,1-609-426-8625,,Chrissy Sorrentino,Katherine Parker,NE07,NE,US Hospitals
365,VCA Spanish River Animal Hospital,Spanish River,180 W. Spanish River Boulevard,Boca Raton,FL,33431,USA,1-561-368-0583,1-561-368-5057,,Sylvain Portal,Anthony Greenland,SE04,SE,US Hospitals
366,VCA Emergency Animal Hospital & Referral Ctr.,Emergency,2317 Hotel Circle South,San Diego,CA,92108,USA,1-619-299-2400,1-619-299-0413,,David Stromberg,Elizabeth Leech,SCS04,SC,US Hospitals
367,VCA Highlands Animal Hospital,Highlands/VA,25011 Lee Highway,Abingdon,VA,24211,USA,1-276-628-4115,1-276-628-6544,,Amy Houck,John Roberts,C05,CE,US Hospitals
370,VCA East Colonial Animal Hospital,East Colonial,7424 E. Colonial Drive,Orlando,FL,32807,USA,1-407-273-0200,1-407-273-9040,1-407-273-3500,Mandy Wagner,,SE07,SE,US Hospitals
371,Closter Animal Hospital,Closter,137 Piermont Road,Closter,NJ,07624,USA,1-201-768-0880,1-201-768-3289,1-201-768-3834,Sonja Murphy,Michael Maida,NE07,NE,US Hospitals
372,VCA All Creatures Animal Hospital,All Creatures/MO,2205 Highway K,O'Fallon,MO,63368,USA,1-636-240-8387,1-636-980-2577,1-636-240-8388,Lynette Benenati,Erica Miller,C06,CE,US Hospitals
373,Aldrich Animal Hospital,Aldrich,537 Sunrise Highway,West Babylon,NY,11704,USA,1-631-669-3161,1-631-587-6334,,Kimberly Audet,Patricia Lasala,NE05,NE,US Hospitals
374,Allenwood Animal Hospital,Allenwood,"3002 Atlantic Avenue, PO Box 183",Allenwood,NJ,08720,USA,1-732-528-7444,1-732-528-5637,,Tracey Roth,Kirsten Cianci,NE07,NE,US Hospitals
375,Bayview Animal Hospital,Bayview,574 Fischer Boulevard,Toms River,NJ,08753,USA,1-732-270-4700,1-732-270-4732,,Kyle Wendy Skultety,Rebecca Guglielmo,NE07,NE,US Hospitals
377,East Islip Animal Hospital,East Islip,700 Main Street,Islip,NY,11751,USA,1-631-277-2266,1-631-277-2492,1-631-277-2371,Janette Velazquez,,NE05,NE,US Hospitals
378,Gateway Animal Hospital,Gateway,4236 Hylan Boulevard,Staten Island,NY,10312,USA,1-718-984-1000,1-718-984-0031,1-718-984-1924,Jennifer Shaw,Peter Dodd,NE06,NE,US Hospitals
380,Oakdale Animal Hospital,Oakdale,1191 Montauk Highway,Oakdale,NY,11769,USA,1-631-567-3050,1-631-567-3649,,Holly Gibbons,Catherine Grey,NE05,NE,US Hospitals
381,Rosebank Animal Hospital,Rosebank,1230 Bay Street,Staten Island,NY,10305,USA,1-718-273-9800,1-718-876-7173,1-718-273-9824,Antania Hall,Kimberly Atkinson,NE06,NE,US Hospitals
382,South Shore Animal Hospital,South Shore/Staten Island,125 New Dorp Lane,Staten Island,NY,10306,USA,1-718-980-2600,1-718-980-2610,,Mary Tortora,,NE06,NE,US Hospitals
383,Southgate Animal Hospital,Southgate,1015 Montauk Highway,Copiague,NY,11726,USA,1-631-789-1234,1-631-789-2633,,Christine Kosior,Michele Mauro-Demino,NE05,NE,US Hospitals
384,Staten Island Animal Hospital,Staten Island,640 Willowbrook Road,Staten Island,NY,10314,USA,1-718-698-1400,1-718-370-8089,,Teresa Giacalone,Irwin Ruderman,NE06,NE,US Hospitals
385,Sunrise Veterinary Group,Sunrise,521 Sunrise Highway,West Islip,NY,11795,USA,1-631-661-5380,1-631-661-2389,1-631-661-6625,Cathy Juliano,Wojciech Bystry,NE05,NE,US Hospitals
387,Village Animal Hospital,Village/NY,6 Weaver Street,Larchmont,NY,10538,USA,1-914-833-3600,1-914-833-3799,,Jessica Labella,Loretta Gallo,NE06,NE,US Hospitals
